0,1,2,3,4,5,6,7
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
凯文-杜兰特,28,39.8,35.2,8.2,5.4,1.0,1.6
斯蒂芬-库里,28,37.8,26.8,8.0,9.4,2.2,0.0
克莱-汤普森,26,36.6,16.4,4.8,2.2,0.4,0.2
德雷蒙德-格林,26,35.4,11.0,10.2,4.8,1.6,0.6
安德烈-伊格达拉,33,28.2,8.6,3.4,3.4,1.2,1.0
肖恩-利文斯顿,31,15.0,6.6,1.0,1.2,0.2,0.0
大卫-韦斯特,36,10.0,4.2,2.0,0.6,0.0,0.6
伊恩-克拉克,25,11.0,4.8,1.0,0.8,0.3,0.0
扎扎-帕楚里亚,32,13.2,3.2,2.8,0.4,0.4,0.0
帕特里克-麦考,21,6.8,2.2,2.0,0.4,0.2,0.0
贾维尔-麦基,29,5.5,2.8,2.5,0.8,0.0,0.5
詹姆斯-迈克尔-麦卡杜,24,2.8,1.0,0.5,0.0,0.3,0.0
马特-巴恩斯,36,1.8,0.6,0.2,0.4,0.0,0.0
2017NBA总决赛骑士 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,32,42.4,33.6,12.0,10.0,1.4,1.0
凯里-欧文,24,40.4,29.4,4.0,4.4,1.0,0.2
凯文-乐福,28,32.2,16.0,11.2,1.0,2.2,1.0
JR-史密斯,31,29.2,11.8,1.6,0.4,0.6,0.4
理查德-杰弗森,36,16.6,5.8,2.4,0.4,0.2,0.2
TT.汤普森,25,26.4,5.6,5.8,2.6,0.6,0.6
凯尔-科沃尔,35,19.4,4.4,1.2,0.4,0.2,0.2
伊曼-香珀特,26,13.2,3.6,2.0,0.8,0.6,0.0
邓台-琼斯,36,3.3,3.0,1.3,0.0,0.0,0.0
德里克-威廉姆斯,25,3.3,2.3,0.3,0.3,0.0,0.0
德隆-威廉姆斯,32,12.2,1.0,1.6,1.2,0.4,0.0
钱宁-弗莱,33,11.0,2.0,3.0,1.0,0.0,0.0
詹姆斯-琼斯,36,2.7,0.0,0.3,0.0,0.0,0.0
2016NBA总决赛骑士 (4-3)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,31,41.7,29.7,11.3,8.9,2.6,2.3
凯里-欧文,23,39.0,27.1,3.9,3.9,2.1,0.7
JR-史密斯,30,37.3,10.6,2.7,1.6,1.4,0.3
TT.汤普森,24,32.3,10.3,10.1,0.7,0.3,0.9
凯文-乐福,27,26.3,8.5,6.8,1.3,0.7,0.3
理查德-杰弗森,35,24.0,5.7,5.3,0.4,1.3,0.1
伊曼-香珀特,25,18.3,3.0,1.6,0.1,0.1,0.3
马修-戴拉维多瓦,25,7.7,2.7,0.5,1.0,0.0,0.0
莫-威廉姆斯,33,4.8,1.5,0.5,0.2,0.5,0.0
邓台-琼斯,35,3.0,1.3,0.3,0.0,0.0,0.2
季莫费-莫兹戈夫,29,5.0,1.4,1.6,0.0,0.6,0.2
乔丹-麦克雷,24,3.0,4.0,1.0,0.0,0.0,0.0
钱宁-弗莱,32,8.3,0.5,0.8,0.0,0.0,0.5
詹姆斯-琼斯,35,4.0,0.2,0.4,0.4,0.0,0.0
2016NBA总决赛勇士 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
斯蒂芬-库里,27,35.1,22.6,4.9,3.7,0.9,0.7
克莱-汤普森,25,35.3,19.6,3.0,1.9,1.0,0.6
德雷蒙德-格林,25,40.0,16.5,10.3,6.3,1.7,1.0
哈里森-巴恩斯,23,31.7,9.3,4.4,1.4,0.7,0.4
安德烈-伊格达拉,32,34.1,9.1,6.3,4.1,0.9,0.7
肖恩-利文斯顿,30,21.1,8.3,3.4,2.9,0.3,0.3
莱昂德罗-巴博萨,33,13.2,8.2,1.0,0.8,0.5,0.2
安德鲁-博古特,31,12.0,3.2,3.0,0.6,0.4,2.0
费斯图斯-埃泽利,26,8.7,2.0,1.9,0.4,0.1,0.1
马利斯-斯贝茨,28,4.7,2.0,1.3,0.3,0.1,0.3
伊恩-克拉克,24,4.8,3.3,0.8,0.5,0.0,0.0
安德森-瓦莱乔,33,6.8,1.2,1.3,1.0,0.2,0.0
詹姆斯-迈克尔-麦卡杜,23,6.0,1.3,1.3,0.3,0.0,0.0
布兰登-拉什,30,5.6,0.2,1.0,0.0,0.4,0.2
2015NBA总决赛勇士 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
斯蒂芬-库里,26,42.5,26.0,5.2,6.3,1.8,0.2
安德烈-伊格达拉,31,37.0,16.3,5.8,4.0,1.3,0.3
克莱-汤普森,24,37.8,15.8,4.3,1.7,0.5,1.0
德雷蒙德-格林,24,37.0,13.0,8.3,5.0,2.2,1.2
哈里森-巴恩斯,22,33.0,8.8,5.8,0.8,0.8,0.5
莱昂德罗-巴博萨,32,10.7,5.2,1.7,0.5,0.5,0.2
肖恩-利文斯顿,29,20.0,5.0,3.5,2.2,0.3,0.3
费斯图斯-埃泽利,25,10.0,4.4,3.4,0.4,0.0,0.6
大卫-李,31,9.8,5.5,2.5,1.5,0.3,0.0
安德鲁-博古特,30,18.5,2.5,6.0,1.5,0.3,1.3
马利斯-斯贝茨,27,5.3,3.0,1.7,0.3,0.3,0.0
贾斯廷-霍勒迪,25,2.0,0.0,0.0,0.0,0.0,0.0
詹姆斯-迈克尔-麦卡杜,22,1.0,0.0,1.0,0.0,0.0,0.0
2015NBA总决赛骑士 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,30,45.7,35.8,13.3,8.8,1.3,0.5
季莫费-莫兹戈夫,28,28.3,14.0,7.5,1.0,0.5,1.5
JR-史密斯,29,33.7,11.5,4.3,1.0,0.5,0.8
TT.汤普森,23,41.2,10.0,13.0,0.3,0.7,1.0
马修-戴拉维多瓦,24,31.8,7.5,2.7,2.7,1.2,0.0
伊曼-香珀特,24,35.8,6.5,3.8,0.7,1.8,0.7
凯里-欧文,22,44.0,23.0,7.0,6.0,4.0,2.0
詹姆斯-琼斯,34,18.8,3.3,1.3,0.3,0.7,0.2
迈克-米勒,34,5.6,0.6,0.2,0.0,0.2,0.0
肯德里克-帕金斯,30,3.0,2.0,1.0,0.0,0.0,0.0
乔-哈里斯,23,1.5,0.5,0.0,0.0,0.0,0.0
2014NBA总决赛马刺 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
托尼-帕克,31,35.2,18.0,0.4,4.6,0.8,0.0
科怀-伦纳德,22,33.4,17.8,6.4,2.0,1.6,1.2
蒂姆-邓肯,37,33.0,15.4,10.0,2.0,0.4,0.8
马努-吉诺比利,36,28.6,14.4,3.0,4.4,1.0,0.2
帕蒂-米尔斯,25,15.2,10.2,1.4,1.6,0.4,0.0
丹尼-格林,26,21.2,9.2,2.0,1.2,2.0,0.4
伯瑞斯-迪奥,31,35.2,6.2,8.6,5.8,0.8,0.2
蒂亚戈-斯普利特,29,16.8,6.2,3.4,2.0,0.6,0.6
马科-贝里内利,27,11.8,4.6,1.2,0.6,0.2,0.0
阿隆-贝恩斯,27,2.0,2.0,0.7,0.0,0.0,0.0
杰夫-艾尔斯,26,2.3,1.7,0.7,0.3,0.0,0.0
马特-邦纳,33,6.8,1.3,0.8,1.3,0.3,0.0
科里-约瑟夫,22,2.7,0.7,0.0,0.0,0.0,0.0
2014NBA总决赛热火 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,29,37.8,28.2,7.8,4.0,2.0,0.4
德维恩-韦德,32,34.4,15.2,3.8,2.6,1.6,0.0
克里斯-波什,29,36.2,14.0,5.2,1.0,0.8,0.2
雷-阿伦,38,31.0,9.8,3.0,1.8,1.6,0.2
拉沙德-刘易斯,34,22.8,8.6,1.6,0.4,0.0,0.4
马里奥-查默斯,27,23.2,4.4,1.4,2.8,1.0,0.2
诺里斯-科尔,25,16.8,3.2,1.2,1.8,0.4,0.0
克里斯-安德森,35,18.0,2.6,5.6,0.0,0.4,0.6
詹姆斯-琼斯,33,3.5,2.8,0.5,0.0,0.0,0.0
迈克尔-比斯利,25,17.0,9.0,3.0,1.0,0.0,0.0
托尼-道格拉斯,27,3.3,1.3,1.0,0.7,0.0,0.0
犹多尼斯-哈斯勒姆,33,5.5,1.0,1.0,0.0,0.0,0.3
肖恩-巴蒂尔,35,8.3,0.0,0.3,0.3,0.3,0.0
格雷格-奥登,26,1.5,0.0,0.0,0.0,0.0,0.0
2013NBA总决赛热火 (4-3)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,28,43.0,25.3,10.9,7.0,2.3,0.9
德维恩-韦德,31,36.4,19.6,4.0,4.6,1.9,1.3
克里斯-波什,28,34.3,11.9,8.9,2.1,1.9,1.6
雷-阿伦,37,27.6,10.6,2.3,1.6,0.1,0.0
马里奥-查默斯,26,31.6,10.6,2.7,2.1,0.7,0.0
肖恩-巴蒂尔,34,12.4,5.6,1.6,0.9,0.1,0.3
迈克-米勒,32,21.7,5.3,2.7,0.9,0.6,0.3
克里斯-安德森,34,14.2,4.4,3.0,0.0,0.8,0.6
诺里斯-科尔,24,16.4,3.0,1.0,2.4,0.8,0.2
犹多尼斯-哈斯勒姆,32,10.7,1.5,2.8,0.0,0.0,0.2
詹姆斯-琼斯,32,4.0,2.0,0.3,0.0,0.0,0.3
拉沙德-刘易斯,33,4.0,1.3,0.7,0.7,0.0,0.0
乔尔-安东尼,30,3.8,0.5,1.8,0.0,0.0,0.0
2013NBA总决赛马刺 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
蒂姆-邓肯,36,36.3,18.9,12.1,1.4,0.9,1.4
托尼-帕克,30,35.1,15.7,1.9,6.4,1.0,0.1
科怀-伦纳德,21,36.4,14.6,11.1,0.9,2.0,0.4
丹尼-格林,25,35.4,14.0,4.1,0.7,1.0,1.6
马努-吉诺比利,35,28.4,11.6,2.1,4.3,0.7,0.0
加里-尼尔,28,24.4,9.4,2.4,0.9,0.0,0.0
蒂亚戈-斯普利特,28,15.3,4.9,2.0,0.4,0.7,0.4
伯瑞斯-迪奥,30,15.7,4.0,2.5,1.7,0.0,0.2
德胡安-布莱尔,23,5.7,3.7,2.7,0.3,0.7,0.0
马特-邦纳,32,6.0,1.8,1.2,0.2,0.2,0.0
科里-约瑟夫,21,7.2,1.8,1.0,1.0,0.3,0.0
帕蒂-米尔斯,24,6.5,2.0,0.5,0.0,0.0,0.0
南多-德科洛,25,2.5,0.0,0.5,0.5,0.0,0.0
特雷西-麦克格雷迪,33,7.0,0.0,2.0,2.5,0.0,0.5
2012NBA总决赛热火 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,27,44.0,28.6,10.2,7.4,1.6,0.4
德维恩-韦德,30,40.6,22.6,6.0,5.2,1.4,1.2
克里斯-波什,27,36.6,14.6,9.4,0.2,0.6,1.2
肖恩-巴蒂尔,33,37.4,11.6,3.4,0.4,0.8,0.0
马里奥-查默斯,25,36.6,10.4,2.6,4.0,1.8,0.4
迈克-米勒,31,8.8,6.2,1.8,0.4,0.2,0.2
诺里斯-科尔,23,11.0,3.3,1.0,0.0,0.0,0.0
犹多尼斯-哈斯勒姆,31,16.2,2.6,4.4,0.4,0.0,0.4
詹姆斯-琼斯,31,10.8,2.8,1.5,0.0,0.3,0.0
特雷尔-哈里斯,24,3.0,3.0,1.0,0.0,0.0,0.0
乔尔-安东尼,29,2.0,0.0,0.0,0.0,0.0,0.0
朱万-霍华德,38,3.0,0.0,0.0,0.0,0.0,0.0
罗尼-图里亚夫,29,3.0,0.0,1.0,0.0,0.0,0.0
2012NBA总决赛雷霆 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
凯文-杜兰特,23,42.6,30.6,6.0,2.2,1.4,1.0
拉塞尔-威斯布鲁克,23,42.2,27.0,6.4,6.6,1.0,0.4
詹姆斯-哈登,22,32.8,12.4,4.8,3.6,1.2,0.0
赛尔吉-伊巴卡,22,26.4,7.0,5.2,0.8,0.4,2.0
德里克-费舍尔,37,25.6,5.6,1.6,0.8,1.0,0.0
肯德里克-帕金斯,27,23.2,4.8,6.8,0.0,0.2,0.6
萨博-塞福洛沙,27,26.0,4.6,2.0,1.0,1.4,0.8
尼克-科里森,31,16.6,3.6,4.6,0.6,0.6,0.2
罗耶尔-埃维,30,3.0,6.0,0.0,0.0,0.0,0.0
科尔-阿尔德里奇,23,5.0,2.0,1.0,0.0,0.0,0.0
戴奎恩-库克,24,3.7,0.7,0.0,0.3,0.0,0.0
拉扎尔-海沃德,25,5.0,2.0,2.0,0.0,0.0,0.0
